cluster_id	Amplitude
0	9.6
1	8.7
2	8.4
3	8.1
4	8.3
5	11.0
6	8.8
7	8.2
8	12.2
10	11.0
11	8.9
12	8.8
13	11.5
16	8.8
17	11.2
18	10.3
19	25.8
20	28.8
21	35.0
22	35.0
31	11.7
32	11.7
46	11.2
48	11.2
49	11.2
