cluster_id	ContamPct
0	82.8
1	223.5
2	10.8
3	52.2
4	54.6
5	135.8
6	181.3
7	199.4
8	122.9
10	155.0
11	1200.0
12	207.4
13	112.1
16	80.0
17	154.5
18	124.5
19	81.5
20	1101.4
21	64.0
22	64.0
31	328.6
32	328.6
46	257.6
48	257.6
49	257.6
